111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.586,58.3,21.586,58.3,31.086,112.5,37.086,141.7,49.586,83.3,51.976,129.2
18.588,50,21.588,37.5,31.088,137.5,37.088,137.5,49.588,75,51.978,116.7
18.59,54.2,21.59,62.5,31.09,104.2,37.09,100,49.59,95.8,51.98,116.7
18.592,20.8,21.592,45.8,31.092,112.5,37.092,100,49.592,87.5,51.982,141.7
18.594,25,21.594,66.7,31.094,87.5,37.094,87.5,49.594,50,51.984,104.2
18.596,16.7,21.596,54.2,31.096,100,37.096,108.3,49.596,87.5,51.986,112.5
18.598,66.7,21.598,16.7,31.098,137.5,37.098,112.5,49.598,75,51.988,141.7
18.6,66.7,21.6,37.5,31.1,104.2,37.1,79.2,49.6,70.8,51.99,112.5
18.602,50,21.602,29.2,31.102,100,37.102,91.7,49.602,58.3,51.992,150
18.604,54.2,21.604,37.5,31.104,137.5,37.104,150,49.604,45.8,51.994,104.2
18.606,41.7,21.606,41.7,31.106,104.2,37.106,100,49.606,79.2,51.996,162.5
18.608,33.3,21.608,75,31.108,108.3,37.108,137.5,49.608,91.7,51.998,120.8
18.61,45.8,21.61,29.2,31.11,129.2,37.11,141.7,49.61,75,52,141.7
18.612,33.3,21.612,45.8,31.112,158.3,37.112,125,49.612,75,52.002,104.2
18.614,33.3,21.614,20.8,31.114,91.7,37.114,100,49.614,70.8,52.004,154.2
18.616,54.2,21.616,66.7,31.116,137.5,37.116,100,49.616,70.8,52.006,125
18.618,29.2,21.618,54.2,31.118,100,37.118,175,49.618,83.3,52.008,125
18.62,70.8,21.62,66.7,31.12,87.5,37.12,129.2,49.62,125,52.01,137.5
